  3095995 function calls (2865441 primitive calls) in 5.702 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/ipykernel/iostream.py:456(_schedule_flush)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/ipykernel/iostream.py:202(schedule)
      174    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/site-packages/pycparser/c_ast.py:706(children)
       26    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/site-packages/pycparser/c_ast.py:1096(children)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/IPython/core/interactiveshell.py:3337(_update_code_co_name)
       15    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/site-packages/pycparser/c_ast.py:612(children)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:132(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/zmq/sugar/socket.py:632(send)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/site-packages/graph_tool/__init__.py:2240(edges)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/IPython/core/compilerop.py:166(extra_flags)
       67    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/site-packages/pycparser/c_ast.py:1116(children)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/site-packages/graph_tool/__init__.py:2055(vertices)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/ipykernel/iostream.py:437(_is_master_process)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:104(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/dis.py:639(findlinestarts)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:1192(is_alive)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:141(__exit__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/traitlets/traitlets.py:689(__get__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/IPython/core/hooks.py:103(__call__)
        3    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
       33    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/site-packages/pycparser/c_ast.py:276(children)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/traitlets/traitlets.py:651(get)
       10    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/IPython/core/interactiveshell.py:3449(compare)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:1125(_wait_for_tstate_lock)
       10    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/IPython/core/interactiveshell.py:1302(user_global_ns)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/IPython/utils/ipstruct.py:125(__getattr__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/ipykernel/iostream.py:90(_event_pipe)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/site-packages/pycparser/c_ast.py:490(children)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'co_lines' of 'code' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:575(is_set)
        3    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/IPython/core/hooks.py:168(pre_run_code_hook)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
