  1971058 function calls (1740544 primitive calls) in 1.314 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      738    0.001    0.000    0.001    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:175(children)
     1141    0.001    0.000    0.001    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:873(children)
       99    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:555(children)
     2792    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      476    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:196(children)
      755    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:538(children)
      263    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:932(children)
       62    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:1077(children)
       70    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:471(children)
      107    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:798(children)
       99    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:520(children)
      174    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:706(children)
       67    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:1116(children)
       26    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:1096(children)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       15    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:612(children)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       33    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:276(children)
       16    0.000    0.000    0.000    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:490(children)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.len}
